Day,MxT,MnT,AvT,AvDP
1,88,59,74,53.8
2,79,63,71,46.5
3,77,55,66,39.6
4,77,59,68,51.1
5,90,66,78,68.3
6,81,61,71,63.7
7,73,57,65,53.0
8,75,54,65,50.0
9,86,32,59,61.5
10,84,64,74,57.5
11,91,59,75,66.3
12,88,73,81,68.7
13,70,59,65,55.0
14,61,59,60,55.9
15,64,55,60,54.9
16,79,59,69,56.7
17,81,57,69,51.7
18,82,52,67,52.6
19,81,61,71,58.9
20,84,57,71,58.9
21,86,59,73,57.7
22,90,64,77,61.1
23,90,68,79,63.1
24,90,77,84,67.5
25,90,72,81,61.3
26,97,64,81,70.4
27,91,72,82,69.7
28,84,68,76,65.6
29,88,66,77,59.7
30,90,45,68,63.6
